Strategy,Combination,Model,Dim,acc,acc_std,f1_macro,f1_wtd
1_Early,MFCC + HuBERT,SVM,1008,85.56,2.18,85.15,85.47
1_Early,MFCC + HuBERT,RF,1008,67.5,3.08,65.85,66.29
1_Early,MFCC + Wav2Vec2,SVM,1008,83.96,2.21,83.18,83.88
1_Early,MFCC + Wav2Vec2,RF,1008,63.96,3.86,61.89,62.8
1_Early,MFCC + Whisper,SVM,752,82.99,3.47,82.66,82.97
1_Early,MFCC + Whisper,RF,752,67.36,3.2,66.58,66.72
1_Early,MFCC + MERT,SVM,1008,79.17,2.42,78.57,79.03
1_Early,MFCC + MERT,RF,1008,61.32,2.48,58.73,59.96
1_Early,Log-Mel + HuBERT,SVM,1024,86.88,2.59,86.53,86.89
1_Early,Log-Mel + HuBERT,RF,1024,68.26,2.01,65.99,67.05
1_Early,Log-Mel + Wav2Vec2,SVM,1024,84.72,1.96,84.11,84.65
1_Early,Log-Mel + Wav2Vec2,RF,1024,62.85,2.63,60.7,61.64
1_Early,Log-Mel + Whisper,SVM,768,82.57,2.99,82.17,82.5
1_Early,Log-Mel + Whisper,RF,768,66.11,2.87,65.5,65.59
1_Early,Log-Mel + MERT,SVM,1024,78.61,2.3,77.76,78.33
1_Early,Log-Mel + MERT,RF,1024,59.51,1.95,57.11,58.31
1_Early,Chroma+C+T + HuBERT,SVM,818,85.42,2.91,84.75,85.36
1_Early,Chroma+C+T + HuBERT,RF,818,67.15,2.1,65.16,65.99
1_Early,Chroma+C+T + Wav2Vec2,SVM,818,83.54,2.37,82.63,83.44
1_Early,Chroma+C+T + Wav2Vec2,RF,818,63.68,3.58,61.02,62.18
1_Early,Chroma+C+T + Whisper,SVM,562,81.6,3.01,81.05,81.53
1_Early,Chroma+C+T + Whisper,RF,562,65.83,2.33,65.3,65.37
1_Early,Chroma+C+T + MERT,SVM,818,79.1,3.26,78.52,78.78
1_Early,Chroma+C+T + MERT,RF,818,60.62,2.9,58.17,59.21
1_Early,Statistical + HuBERT,SVM,778,84.31,2.14,83.63,84.2
1_Early,Statistical + HuBERT,RF,778,66.46,1.53,64.23,65.05
1_Early,Statistical + Wav2Vec2,SVM,778,83.06,2.12,82.23,82.93
1_Early,Statistical + Wav2Vec2,RF,778,63.06,2.65,60.57,61.72
1_Early,Statistical + Whisper,SVM,522,80.83,2.39,80.5,80.74
1_Early,Statistical + Whisper,RF,522,64.17,3.6,63.41,63.7
1_Early,Statistical + MERT,SVM,778,77.92,2.53,77.17,77.63
1_Early,Statistical + MERT,RF,778,60.21,3.25,57.45,58.58
1_Early,ALL_HC + HuBERT,SVM,1324,86.53,3.1,86.16,86.57
1_Early,ALL_HC + HuBERT,RF,1324,67.57,2.12,65.49,66.35
1_Early,ALL_HC + Wav2Vec2,SVM,1324,85.49,2.89,84.83,85.49
1_Early,ALL_HC + Wav2Vec2,RF,1324,66.04,1.63,64.02,65.04
1_Early,ALL_HC + Whisper,SVM,1068,83.89,3.62,83.62,83.9
1_Early,ALL_HC + Whisper,RF,1068,68.54,2.53,67.79,68.1
1_Early,ALL_HC + MERT,SVM,1324,80.28,2.3,79.72,80.1
1_Early,ALL_HC + MERT,RF,1324,63.06,1.97,60.5,61.82
1_Early,ALL_HC + ALL_EMB,SVM,3372,86.88,3.85,86.39,86.79
1_Early,ALL_HC + ALL_EMB,RF,3372,71.6,4.03,70.51,70.5
2_Late_Average,MFCC + HuBERT,Late-Average,1008,85.35,2.45,85.04,0.0
2_Late_Weighted,MFCC + HuBERT,Late-Weighted,1008,85.42,2.16,84.98,0.0
2_Late_MaxVote,MFCC + HuBERT,Late-MaxVote,1008,85.35,2.45,85.04,0.0
2_Late_Average,MFCC + Wav2Vec2,Late-Average,1008,84.72,2.73,84.05,0.0
2_Late_Weighted,MFCC + Wav2Vec2,Late-Weighted,1008,84.72,2.79,84.01,0.0
2_Late_MaxVote,MFCC + Wav2Vec2,Late-MaxVote,1008,84.72,2.73,84.05,0.0
2_Late_Average,MFCC + Whisper,Late-Average,752,83.26,2.32,82.8,0.0
